LIB,CON,BQ, NDP,GRN,OTH
164,148,23,7,1,0 
163,148,23,8,1,0 
164,147,23,8,1,0 
163,148,23,8,1,0 
164,147,23,8,1,0 
165,147,23,7,1,0 
166,146,23,7,1,0 
167,145,23,7,1,0 




